Vertex1;Vertex2;Cost
390;394;100
535;537;100
145;149;101
268;271;101
354;356;101
480;483;101
654;655;101
320;324;102
454;458;102
661;663;102
673;675;102
131;134;103
404;405;103
525;527;103
582;586;103
818;819;103
472;476;104
574;576;104
590;591;104
759;763;104
773;776;104
815;817;104
240;244;105
442;444;105
629;633;105
670;672;105
657;659;106
853;855;106
1;5;107
48;51;107
252;253;107
279;281;107
339;342;107
385;388;107
385;389;107
753;757;107
869;873;107
211;215;108
218;219;108
328;330;108
400;401;108
400;404;108
573;577;108
103;107;109
368;370;109
677;680;109
712;714;109
63;64;110
90;92;110
134;136;110
319;322;110
593;596;110
728;729;110
752;754;110
835;838;110
393;394;112
563;566;112
185;188;113
266;269;113
477;480;113
621;625;113
831;835;113
272;276;114
306;309;114
471;473;114
691;694;114
727;730;114
858;859;114
397;398;115
584;587;115
88;91;116
242;246;116
375;379;116
821;825;116
837;839;116
237;239;117
317;319;117
329;332;117
759;762;117
44;48;118
246;248;118
397;401;118
430;434;118
755;757;118
77;81;119
241;244;119
524;528;119
891;893;119
531;532;120
772;775;120
841;842;120
168;171;121
168;172;121
590;593;121
213;214;122
229;233;122
473;475;122
613;615;122
822;824;122
845;846;122
888;891;122
120;121;123
243;247;123
348;352;123
466;467;123
534;535;123
667;669;123
715;717;123
19;21;124
120;124;124
383;385;124
502;503;124
784;786;124
850;854;124
198;202;125
362;366;125
396;398;125
662;665;125
17;20;126
196;197;126
258;261;126
622;626;126
624;626;126
628;631;126
61;64;127
343;344;127
417;421;127
575;579;127
714;716;127
749;751;127
77;79;128
828;832;128
214;215;129
423;427;129
519;520;129
876;878;129
138;142;130
161;163;130
754;757;130
881;882;130
415;416;131
553;556;131
68;70;132
173;176;132
245;246;132
418;419;132
529;532;132
676;679;132
739;741;132
743;744;132
331;332;133
384;386;133
427;431;133
450;454;133
734;737;133
740;741;133
876;880;133
118;121;134
804;805;134
848;849;134
769;771;135
769;772;135
72;76;136
308;312;136
621;623;136
875;878;136
405;407;137
532;535;137
705;706;137
792;794;137
850;852;137
597;598;138
614;617;138
318;319;139
569;573;139
710;712;139
733;734;139
15;19;140
665;669;140
700;702;140
815;818;140
150;153;141
504;508;141
557;561;141
625;627;141
656;659;141
682;684;141
50;53;142
215;218;142
306;308;142
548;549;143
607;610;144
25;27;145
111;113;145
87;91;146
472;475;146
188;189;147
214;217;147
371;374;147
534;538;147
712;715;147
742;744;147
115;117;148
572;574;149
685;689;149
22;24;150
870;871;150
262;266;151
306;310;151
333;337;151
512;514;151
895;898;151
51;54;152
99;101;152
180;181;152
302;305;152
386;388;152
791;793;152
136;139;153
65;67;154
81;83;154
290;291;154
291;293;154
347;348;155
558;559;155
645;646;155
440;443;156
604;608;156
688;690;156
719;720;156
133;135;157
138;141;157
631;635;157
718;722;157
890;891;157
152;154;158
269;273;158
288;290;158
448;451;158
492;496;158
524;525;158
536;540;158
538;539;158
183;186;159
189;190;159
411;415;159
413;414;159
432;434;159
442;445;159
476;478;159
807;810;159
13;16;160
69;70;160
636;638;160
393;397;161
25;26;162
120;123;162
190;191;162
802;805;162
76;79;163
151;152;163
163;165;163
236;239;163
435;436;163
499;503;163
659;660;163
866;869;163
93;96;164
99;103;164
153;157;164
540;544;164
321;322;165
872;876;165
