Vertex1;Vertex2;Cost
13;16;100
221;222;100
328;329;100
388;389;100
8;11;101
86;88;102
199;200;102
245;248;102
275;276;102
42;44;103
137;140;103
183;185;103
221;223;104
294;298;104
298;300;104
414;417;104
66;69;106
91;95;106
105;108;106
379;383;106
167;168;107
333;336;107
357;360;107
85;89;108
153;157;109
61;62;110
76;80;111
109;111;111
128;132;111
144;148;111
196;198;111
287;290;111
226;228;112
130;134;113
96;100;114
269;271;114
331;334;114
306;309;115
348;349;115
408;411;115
20;22;117
282;284;118
405;407;118
275;279;119
154;156;121
334;337;121
137;139;122
6;7;123
67;68;123
112;115;123
345;349;123
37;41;124
57;58;124
81;85;124
301;304;124
56;58;126
114;117;126
330;332;127
76;77;128
348;351;128
306;307;129
20;24;130
41;42;130
62;64;130
143;144;130
302;303;130
265;268;131
351;353;131
372;376;131
28;30;132
82;86;133
209;212;134
425;427;135
304;306;136
375;377;136
424;428;136
262;263;137
418;419;137
405;406;138
32;33;139
79;82;139
150;153;139
168;171;139
52;53;140
133;135;140
274;278;140
77;81;141
139;142;141
338;341;141
377;381;141
15;19;142
176;177;142
256;258;142
291;293;142
422;426;142
435;436;142
442;446;142
32;34;143
170;171;143
376;377;143
396;400;144
64;67;145
204;205;145
97;100;146
223;226;146
324;327;146
54;56;147
164;168;147
297;298;147
412;414;147
8;12;148
297;301;149
192;196;151
198;200;152
443;447;153
230;231;154
314;316;154
355;358;154
423;427;154
437;438;154
55;59;155
72;73;155
139;143;155
241;242;155
341;345;156
214;217;158
198;202;159
176;179;160
229;231;162
122;126;163
394;397;164
427;431;164
12;15;165
126;128;165
211;212;165
46;50;166
327;328;166
356;358;166
321;325;167
278;281;168
326;327;169
38;40;170
319;323;170
2;4;171
272;274;171
355;359;171
98;101;172
216;219;172
168;169;173
295;298;173
273;276;175
310;313;175
210;214;176
238;239;176
318;321;176
191;192;177
426;429;177
42;45;178
159;163;179
43;47;180
130;131;181
174;176;181
178;180;182
178;182;182
256;259;182
303;304;182
22;26;183
53;55;183
188;192;183
343;346;183
378;382;183
103;104;184
199;201;185
99;103;187
278;279;187
327;331;187
392;396;187
404;406;188
432;436;190
138;142;191
283;287;192
287;291;192
31;34;194
448;449;194
68;70;195
310;312;195
427;428;196
212;215;198
233;234;198
350;352;198
409;410;198
150;151;200
108;110;202
265;266;202
415;419;202
183;184;203
412;415;204
1;2;205
232;235;205
243;244;205
266;267;205
292;295;205
246;248;206
360;364;206
153;155;207
253;256;207
311;315;207
332;333;210
413;416;212
143;146;213
187;189;213
354;355;213
133;136;215
186;187;215
113;117;216
134;137;216
333;337;216
223;225;217
358;360;217
445;446;217
62;63;218
119;120;218
368;369;220
411;415;221
420;421;221
128;130;222
365;369;222
150;152;224
208;212;224
187;191;227
378;381;227
60;64;228
84;88;228
277;281;228
364;365;228
382;384;228
437;441;229
124;127;231
433;434;231
24;27;232
102;104;233
105;109;233
185;186;233
421;425;234
380;381;235
282;285;236
313;317;237
315;319;237
299;300;238
402;404;239
21;23;241
80;82;241
371;375;241
78;82;242
421;422;243
12;13;244
210;212;244
344;348;244
96;99;245
366;368;245
123;125;246
32;35;247
268;272;247
58;61;248
439;442;248
247;250;249
247;248;250
338;339;250
4;6;251
319;321;251
410;412;251
140;141;252
305;309;252
190;192;253
263;264;255
386;390;256
253;255;257
394;396;258
177;180;259
14;18;260
169;173;261
238;240;262
396;399;262
69;72;263
346;347;263
65;67;264
248;249;264
235;238;265
228;230;266
340;344;266
385;386;266
398;402;266
173;176;267
350;351;268
361;362;268
398;401;268
122;124;270
160;161;270
416;418;270
362;366;271
256;260;272
313;316;272
27;28;273
86;90;273
236;237;273
418;422;273
374;378;274
48;50;276
219;223;276
368;371;276
93;97;277
233;235;277
80;83;278
42;43;279
405;408;279
20;23;280
337;339;280
201;205;281
346;350;281
94;96;282
234;237;282
28;32;285
70;71;285
89;92;288
400;403;290
285;286;291
29;31;292
46;49;292
195;196;292
403;406;292
431;433;292
131;133;293
159;162;294
177;181;297
370;372;298
335;337;299
217;219;301
13;14;302
8;10;303
59;61;304
148;152;304
285;288;304
320;324;304
437;439;305
314;315;306
205;208;308
3;5;309
103;106;310
92;96;311
382;383;313
91;94;315
63;66;316
103;107;319
24;25;320
119;121;321
288;290;321
190;193;323
4;5;327
6;8;327
443;446;327
175;176;329
74;77;330
281;285;330
325;328;330
436;439;330
205;207;331
260;262;331
338;342;331
197;199;334
230;234;334
383;386;334
149;152;336
33;37;338
432;434;338
257;260;339
95;98;342
215;218;342
194;197;343
242;243;343
293;297;344
154;155;345
227;230;345
181;184;346
386;389;346
37;40;349
86;87;350
157;158;350
36;37;351
306;310;354
39;41;358
170;172;358
163;165;359
205;206;361
114;115;363
248;252;363
252;254;363
115;118;365
125;126;366
430;432;369
262;266;371
444;447;373
147;149;376
259;261;376
448;450;377
114;116;378
292;296;378
252;255;379
7;9;383
74;75;383
70;74;384
118;119;386
222;224;387
289;290;388
104;105;389
268;270;392
240;241;397
111;114;400
164;165;401
322;326;401
373;374;406
266;269;408
350;354;408
251;252;410
445;449;416
363;367;422
386;387;422
51;55;424
18;22;440
363;366;441
145;149;442
220;224;442
50;54;447
395;397;447
120;123;453
304;308;453
388;392;454
280;283;455
166;167;463
201;203;473
159;161;479
388;391;481
210;213;490
17;18;493
129;130;496
244;247;509
155;159;516
45;46;521
440;443;526
391;393;632
Total cost of making SpanningTree: 106216
