Vertex1;Vertex2;Cost
344;345;100
442;445;100
6;10;101
234;238;101
283;286;101
522;526;101
721;725;101
112;113;102
169;173;102
174;176;102
324;325;102
513;515;102
789;790;102
132;136;103
508;511;103
509;512;103
912;916;103
993;996;103
137;140;104
318;320;104
627;629;104
1031;1033;104
107;109;105
482;485;105
543;545;105
884;887;105
961;965;105
3;5;106
267;271;106
688;692;106
1044;1046;106
329;333;107
493;494;107
782;783;107
878;882;107
1046;1050;107
38;40;108
393;397;108
483;484;108
950;954;108
133;135;109
579;582;109
1024;1025;109
347;350;110
519;520;110
560;564;110
255;257;111
587;590;111
640;644;111
687;690;111
850;851;111
277;281;112
473;475;112
768;770;112
831;834;112
264;267;113
430;431;113
848;849;113
907;908;113
154;157;114
357;361;114
421;423;114
612;616;114
624;627;114
979;981;114
237;240;115
271;272;115
401;404;115
556;559;115
800;801;115
1020;1024;115
281;285;116
518;520;116
580;584;116
217;221;117
1020;1021;117
100;102;118
123;127;118
251;252;118
257;259;118
764;768;118
983;986;118
535;539;119
604;606;119
762;765;119
841;844;119
616;619;120
641;644;120
661;664;120
861;864;120
243;246;121
18;20;122
105;106;122
235;238;122
288;289;122
375;378;122
394;396;122
443;446;122
575;578;122
736;740;122
763;766;122
833;837;122
48;51;123
154;158;123
202;206;123
457;458;123
463;464;123
593;595;123
776;779;123
988;989;123
1026;1027;123
99;101;125
752;754;125
816;817;125
972;974;125
1024;1026;125
46;49;126
88;92;126
618;622;126
838;839;126
326;329;127
855;859;127
950;951;127
14;15;128
17;21;128
257;261;128
562;563;128
728;729;128
737;739;128
175;177;129
438;440;129
858;861;129
18;22;130
435;437;130
480;484;130
168;169;131
251;253;131
488;492;131
716;717;131
913;915;131
985;987;131
209;213;132
853;854;132
1;5;133
109;110;133
219;220;133
345;349;133
416;418;133
512;514;133
746;747;133
800;802;133
874;877;133
911;912;133
141;144;134
437;438;134
109;112;135
720;723;135
1014;1018;135
6;8;136
352;356;136
695;696;136
742;744;136
927;931;136
127;129;137
147;149;137
205;206;137
461;465;137
606;607;137
66;68;138
120;124;138
341;345;138
460;464;138
570;574;138
572;573;138
613;616;138
397;400;139
522;523;139
662;664;139
811;812;139
288;290;140
566;567;140
891;895;140
1034;1036;140
87;88;141
157;161;141
467;471;141
716;720;141
780;784;141
789;792;141
908;909;141
990;994;141
1030;1032;141
637;641;142
898;902;142
55;59;143
91;94;143
380;383;143
751;752;143
869;872;143
28;31;144
126;127;144
149;151;144
854;858;144
680;684;145
793;795;145
973;974;145
67;68;146
