size;time
590;0.050000 
1190;0.080000 
1790;0.040000 
2390;0.090000 
2990;0.120000 
3590;0.170000 
4190;0.220000 
4790;0.240000 
5390;0.300000 
5990;0.340000 
6590;0.460000 
7190;0.460000 
7790;0.850000 
8390;0.820000 
8990;0.920000 
9590;1.220000 
10190;1.600000 
10790;1.820000 
11390;1.870000 
11990;2.250000 
12590;2.210000 
13190;2.380000 
13790;2.630000 
14390;2.420000 
14990;3.520000 
15590;3.370000 
16190;3.870000 
16790;4.480000 
17390;4.900000 
17990;5.180000 
